r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
10.98 259.03 4.99 2197.63
11.12 258.57 5.12 2231.60
11.27 259.91 5.23 2267.79
11.42 260.42 5.33 2303.91
11.57 260.76 5.43 2339.68
11.71 260.90 5.48 2372.56
11.86 261.19 5.39 2406.72
12.01 260.15 5.34 2439.31
12.15 259.22 5.23 2468.11
12.30 257.04 5.09 2496.89
12.45 258.21 5.02 2524.45
12.60 257.04 4.89 2551.17
12.74 254.99 4.79 2574.64
12.89 254.62 4.68 2598.60
13.04 252.16 4.57 2621.35
13.19 251.24 4.47 2642.92
13.33 251.32 4.37 2662.52
13.48 251.35 4.27 2683.17
13.63 250.45 4.21 2703.41
13.78 250.44 4.13 2723.29
13.92 252.24 4.14 2742.14
14.07 252.35 4.15 2762.88
14.22 253.56 4.15 2784.01
14.36 254.29 4.22 2804.32
14.51 254.43 4.19 2826.43
14.66 254.34 4.20 2848.56
14.81 255.64 4.15 2870.88
14.95 256.15 4.09 2891.80
15.10 256.86 4.08 2914.32
15.25 258.92 4.04 2937.24
15.40 260.28 3.92 2960.36
15.54 261.92 3.81 2981.84
15.69 263.56 3.66 3004.69
15.84 263.18 3.55 3027.04
15.99 264.03 3.41 3048.80
16.13 265.53 3.28 3068.76
16.28 266.65 3.12 3089.72
16.43 266.97 2.97 3110.02
16.57 267.45 2.82 3128.28
16.72 267.65 2.72 3147.28
16.87 267.08 2.60 3165.69
17.02 266.52 2.52 3183.48
17.16 264.56 2.39 3199.35
17.31 263.47 2.30 3215.49
17.46 261.69 2.22 3230.98
17.61 260.38 2.15 3245.89
17.75 259.45 2.11 3259.46
17.90 259.40 2.05 3273.78
18.05 257.45 2.01 3287.80
18.20 253.93 1.97 3301.27
18.34 252.74 1.93 3313.40
18.49 251.29 1.90 3326.15
18.64 247.27 1.87 3338.43
18.78 247.41 1.83 3349.56
18.93 248.09 1.80 3361.55
19.08 247.54 1.74 3373.45
19.23 245.03 1.70 3384.98
19.37 242.54 1.67 3395.33
19.52 241.05 1.63 3406.06
19.67 239.09 1.62 3416.57
19.82 239.62 1.59 3427.02
19.96 238.71 1.59 3436.85
20.11 236.41 1.56 3447.21
20.26 238.32 1.53 3457.53
20.41 235.88 1.52 3467.87
20.55 232.75 1.49 3477.16
20.70 231.63 1.48 3486.84
20.85 230.66 1.46 3496.45
20.99 230.85 1.46 3505.47
21.14 229.78 1.45 3515.20
21.29 229.23 1.44 3524.91
21.44 229.23 1.41 3534.63
21.58 229.75 1.38 3543.70
21.73 228.18 1.34 3553.26
21.88 227.85 1.33 3562.67
22.03 230.47 1.29 3572.23
22.17 228.95 1.26 3581.13
22.32 227.13 1.22 3590.34
22.47 226.96 1.18 3599.27
22.62 224.43 1.14 3607.88
22.76 225.30 1.11 3615.70
22.91 226.45 1.09 3624.18
23.06 227.94 1.06 3632.76
23.20 225.51 1.04 3640.67
23.35 224.93 1.01 3648.90
23.50 226.17 0.98 3657.06
23.65 226.45 0.97 3665.29
23.79 226.35 0.94 3672.94
23.94 229.35 0.92 3681.21
24.09 229.34 0.89 3689.56
24.24 228.66 0.87 3697.77
24.38 231.52 0.86 3705.53
24.53 230.10 0.84 3713.90
24.68 229.60 0.83 3722.14
24.83 228.78 0.81 3730.30
24.97 229.13 0.80 3737.86
25.12 226.13 0.77 3745.74
25.27 228.30 0.75 3753.45
25.41 229.33 0.73 3760.71
25.56 230.22 0.72 3768.53
25.71 229.30 0.70 3776.30
25.86 228.52 0.67 3783.83
26.00 226.29 0.63 3790.47
26.15 225.64 0.61 3797.24
26.30 226.49 0.60 3803.96
26.45 227.02 0.58 3810.66
26.59 225.69 0.57 3816.82
26.74 224.89 0.55 3823.26
26.89 224.68 0.53 3829.53
27.04 225.43 0.51 3835.68
27.18 226.24 0.49 3841.32
27.33 228.09 0.47 3847.31
27.48 226.27 0.45 3853.14
27.62 226.57 0.43 3858.37
27.77 224.87 0.41 3863.75
27.92 224.28 0.39 3868.89
28.07 224.61 0.38 3873.91
28.21 223.83 0.37 3878.52
28.36 225.41 0.36 3883.42
28.51 226.30 0.34 3888.26
28.66 225.70 0.33 3892.97
28.80 225.19 0.31 3897.20
28.95 226.24 0.30 3901.59
29.10 227.46 0.29 3905.96
29.25 228.52 0.28 3910.30
29.39 227.92 0.27 3914.27
29.54 229.02 0.26 3918.44
29.69 229.91 0.25 3922.54
