,t_acc=3Gyr,t_acc=10Gyr,t_acc=25Gyr
43,775694791.8409278,500125945.1971991,414517162.7757156
44,783660052.2740146,509388423.77209324,423334170.6373372
45,791364180.4094284,518558739.1452722,432115980.90962076
46,798815737.1821771,527637808.35591567,440862734.1017183
47,806023002.866435,536626539.31851035,449574570.16186786
48,812993986.2767012,545525830.9136432,458251628.4796318
49,819736433.6673033,554336573.0778899,466894047.8881283
50,826257837.3401468,563059646.892809,475501966.6662524
51,832565443.9702635,571695924.6730516,484075522.54088795
52,838666262.6584191,580246270.0535922,492614852.6891126
53,844567072.719725,588711538.0760945,501120093.74039
54,850274431.2169062,597092575.2744151,509591381.77875876
55,855794680.2466027,605390219.7592579,518028852.34500825
56,861133953.9867952,613605301.3019863,526432640.4388477
57,866298185.5131902,621738641.4176004,534802880.5210654
58,871293113.3921362,629791053.4468895,543139706.5156819
59,876124288.0573993,637763342.6377671,551443251.8120905
60,880797077.9778825,645656306.2257956,559713649.2671928
61,885316675.6231439,653470733.5139116,567951031.2075255
62,889688103.2333411,661207405.9513557,576155529.4313744
63,893916218.4000157,668867097.211819,584327275.2108867
64,898005719.4639152,676450573.2708107,592466399.2941687
65,901961150.7358575,683958592.4822562,600573031.9073801
66,905786907.5464298,691391905.6543335,608647302.756815
67,909487241.1301441,698751256.1245539,616689341.0309794
68,913066263.3494669,706037379.8340977,624699275.4026572
69,916527951.2639787,713251005.4014074,632677234.0309696
70,919876151.5497384,720392854.1950508,640623344.5634243
71,923114584.7737638,727463640.4058594,648537734.1379597
72,926246849.528377,734464071.1183462,656420529.3849779
73,929276426.4300112,741394846.3814167,664271856.4293708
74,932206681.98692,748256659.278372,672091840.8925387
75,935040872.3400892,755050195.996221,679880607.8943996
76,937782146.8815053,761776135.8942959,687638282.0553924
77,940433551.7538043,768435151.5721918,695364987.4984682
78,942998033.2351884,775027908.9370261,703060847.8510795
79,945478441.013371,781555067.2700286,710725986.2471563
80,947877531.35219,788017279.2924724,718360525.3290757
81,950197970.1544067,794415191.2309448,725964587.2496269
82,952442335.9240937,800749442.8819711,733538293.673962
83,954613122.6319057,807020667.6759951,741081765.7815455
84,956712742.4864137,813229492.7407221,748595124.2680926
85,958743528.6145856,819376538.9638327,756078489.3474989
86,960707737.654389,825462421.055072,763531980.753765
87,962607552.2623992,831487747.6077205,770955717.7429132
88,964445083.5391976,837453121.1594546,778349819.0948933
89,966222373.3752561,843359138.2526004,785714403.1154848
90,967941396.719915,849206389.4937894,793049587.6381888
91,969604063.7759736,854995459.6130182,800355490.0261145
92,971212222.1223344,860726927.522123,807632227.1738559
93,972767658.7670591,866401366.3726708,814879915.5093623
94,974272102.1331165,872019343.6132752,822098670.9958022
95,975727223.9790306,877581421.0463424,829288609.1334169
96,977134641.2565619,883088154.8842508,836449844.9613702
97,978495917.9074866,888540095.8049726,843582493.0595883
98,979812566.6014712,893937789.0071437,850686667.5505927
99,981086050.4169717,899281774.264582,857762482.101327
100,982317784.4670271,904572585.9802669,864810049.9249743
101,983509137.4717526,909810753.2397792,871829483.7827713
102,984661433.2792807,914996799.8642092,878820895.9858083
103,985775952.3368397,920131244.4625418,885784398.3968307
104,986853933.1136049,925214600.4835153,892720102.4320247
105,987896573.4769024,930247376.266968,899628119.0628036
106,988905032.023296,935230075.094672,906508558.8175803
107,989880429.3660367,940163195.2406627,913361531.7835381
108,990823849.3803027,945047230.0210654,920187147.6083907
109,991736340.4076178,949882667.8434281,926985515.5021361
110,992618916.4207822,954669992.255563,933756744.2388065
111,993472558.1506143,959409681.9939004,940500942.158206
112,994298214.175751,964102211.0313638,947218217.167645
113,995096801.9767233,968748048.6247678,953908676.7436665
114,995869208.9554722,973347659.361743,960572427.9337674
115,996616293.4214427,977901503.207196,967209577.3581084
116,997338885.5453496,982410035.5493068,973820231.2112219
117,998037788.2816738,986873707.245066,980404495.2637104
118,998713778.2609173,991292964.6653634,986962474.8639395
119,999367606.6526062,995668249.7396235,993494274.9397225
120,1000000000.0,1000000000.0,1000000000.0000001
