Name,Mbar,e_Mbar,jbar,e_jbar,fgas,e_fgas
NGC2998,107740000000.0,31798353982.557022,2594.3424911824764,1075.8541038824592,0.26768145535548543,0.09982948505669703
NGC3031,44576000000.0,10918110548.991524,1541.4459798994974,522.493074235018,0.08919597989949747,0.025311573621241545
NGC3198,33955869074.375633,4005947775.4267445,1945.1177263848792,363.6397590113368,0.5112518240064868,0.05885867134304714
NGC3319,5749200000.0,1267517258.2651489,601.1815556947054,186.07757389528072,0.21380365963960205,0.054640502982586325
NGC3351,44925649937.04993,3570994758.8064094,1109.8313254757538,126.66217073850484,0.1729997682442657,0.022951846532806103
NGC3370,21336000000.0,4617086358.300005,843.4645669291339,244.08998532631682,0.2125984251968504,0.052707287914985766
NGC3521,56494778552.66489,27157631677.58952,979.5365305596458,650.7516052967995,0.28134951512107703,0.1496635606586
NGC3627,51909834205.04099,11202191727.013039,910.4675356126071,282.97526747425485,0.22750668319210574,0.06132923131967965
NGC3726,48988000000.0,13839398975.389069,1443.325467461419,570.5069053215481,0.26920878582510005,0.09544333720084208
NGC3769,17672000000.0,4246011775.7726483,1161.230873698506,439.48269171692993,0.5291987324581259,0.12056224768449815
NGC3877,35526000000.0,12220145742.17509,903.8429319371728,452.3097684372281,0.06265833474075325,0.02838104333675697
NGC3917,13894000000.0,4068744971.118244,800.6730963005614,330.8196927955137,0.22268605153303583,0.0835959367482096
NGC3953,64386000000.0,22139481171.879345,1719.2498369210698,875.2982590166674,0.06501413350728419,0.029433106437466473
NGC3972,8364000000.0,2482691958.338771,493.3295552367288,212.8990304252464,0.2109038737446198,0.08037062050442742
NGC3992,205244365246.1746,25021109455.248737,4210.624212169864,736.2075991661991,0.17257477425758547,0.04021960921903098
NGC4010,10998000000.0,3040017394.6870766,536.500800145481,217.6880251781839,0.2889616293871613,0.09942860070060378
NGC4013,37950000000.0,11849446231.78653,1577.540184453228,684.9153216400393,0.15678524374176547,0.06382739024792122
NGC4051,35320000000.0,11566401936.64391,956.40543601359,481.5681487625125,0.11098527746319364,0.047709481499812925
NGC4088,65900000000.0,19751708786.836647,1132.609104704097,469.0104681282148,0.20182094081942337,0.07798340172987642
NGC4100,32812000000.0,10112573164.135822,1265.5198098256735,532.3069934059598,0.17408265268804096,0.06966525089342045
NGC4157,65800000000.0,19366050294.26496,1351.5,539.3981446760594,0.22340425531914893,0.08416398423299337
NGC4183,11760000000.0,2825713361.259418,839.875,303.9708329835612,0.5416666666666666,0.12037742008511128
NGC4190,91802954.32513592,15449819.892675355,19.914101453598896,5.030655918465758,0.6633773438740566,0.09074623852394607
NGC4258,53858000000.0,12269874398.705147,1886.9885625162465,585.2006735500812,0.15518585911099556,0.040699250667703295
NGC4535,78114217723.87161,7891080379.54328,1825.9130925293384,266.4315300020015,0.13449434034929636,0.019653369289951296
NGC4536,38259239191.967026,4250597565.5799227,1186.80318076782,189.47346086904358,0.2286283551383241,0.034357975973962604
NGC4639,18980000000.0,4556651911.21727,900.9852476290832,298.10706704657457,0.12539515279241306,0.03494724697940989
NGC4725,98239430079.69925,12919459113.59338,2509.371510059224,468.39294427617455,0.05002064849127679,0.010297361286371366
NGC5584,14592000000.0,3163398937.8515,815.28125,250.5729335844904,0.21875,0.05449137857387121
NGC6946,44508000000.0,22840093607.513958,1042.5815583715287,750.082503119942,0.25856025882987327,0.17315714102100987
NGC7793,5818032467.116829,809382818.7398679,375.48165224356416,73.47661485417817,0.3901488325495603,0.0607349610664395
NGC7814,40832000000.0,10005737625.982405,751.4434757053292,253.8722692950391,0.04731583072100313,0.014027337220164481
UGC00731,3130000000.0,1837003266.1919794,438.5766773162939,392.1288082291602,0.9482428115015974,0.04394986899514188
UGC02487,221640000000.0,73872306827.38966,8535.515249954882,3949.0533281315047,0.14275401552066413,0.06256797157410687
UGC02953,150980000000.0,88090382698.68056,2431.23009670155,1921.6568578191668,0.09921843952841436,0.07987989174639674
UGC03546,49796000000.0,24942245287.86452,1226.8070527753234,907.209878139155,0.10233753715157844,0.06997855375637865
UGC04278,2228000000.0,1060273247.79983,322.34147217235187,252.310021371621,0.7100538599640933,0.18391821260496427
UGC04325,2075800000.0,928050451.2148033,255.63347143270065,176.31954833551654,0.5206667308989306,0.22336249274141848
UGC04499,2528000000.0,1202400166.3339872,283.7911392405063,210.89309213919157,0.7088607594936709,0.18418196090573205
UGC05721,1177800000.0,585370788.4751339,214.0626931567329,176.9724506475887,0.7690609611139413,0.15828393622516682
UGC06446,1537200000.0,723166481.524137,375.52295081967213,284.15405918844664,0.6857923497267758,0.19276271485808436
UGC06787,67460000000.0,32735683527.307014,1455.3320486214052,1090.2894402854915,0.1328194485621109,0.08764913585611403
UGC06930,10116000000.0,2427273367.3815975,816.1644128113879,312.10319037140715,0.5729537366548043,0.11876068038789156
UGC06983,7688000000.0,1887020932.5813003,812.7806451612903,311.3694988645829,0.6774193548387096,0.10612466516049483
UGC07125,7668000000.0,3941539293.2203526,600.9181533646322,487.7044603675924,0.8161189358372457,0.13326697770346932
UGC07323,2896000000.0,1360565117.8830068,226.45953038674034,169.8127724311256,0.3577348066298342,0.20541340639813666
UGC07524,3906000000.0,581011153.077116,446.8469534050179,100.66768262674833,0.6953405017921147,0.06719012604700639
UGC07690,903200000.0,404139035.48160255,107.52214348981398,74.99560456774914,0.5549158547387067,0.22082498696328542
UGC08286,1734800000.0,238646935.8697069,295.84892783029744,58.8337978369935,0.6391514872031359,0.06866271952972766
UGC08490,1741200000.0,376558096.4472813,281.51722949689866,98.15662648135712,0.7059499195956811,0.08927687757042044
UGC08550,640200000.0,317951065.417306,148.45129646985313,120.44788913105856,0.7719462667916275,0.15653740292753326
UGC10310,2618000000.0,1225778870.7593226,300.5844919786096,222.09328330525173,0.6684491978609626,0.19947291601215222
UGC11557,9128000000.0,3713889605.252154,350.38895705521475,238.95225555507173,0.34049079754601225,0.17114293736363145
UGC11914,72968000000.0,46410200699.84615,896.6972371450499,924.7206746755708,0.021488871834228703,0.018893788777011637
CVIDWA,62100000.0,9630000.0,9.8,3.3,0.86,0.04
KK251,155000000.0,75300000.0,44.1,14.7,0.73,0.06
LVHIS055,125000000.0,30800000.0,54.2,9.8,0.4,0.09
LVHIS078,284000000.0,69600000.0,48.7,5.8,0.43,0.1
NGC0925,11700000000.0,2470000000.0,634.5,62.1,0.24,0.05
NGC1569,797000000.0,171000000.0,20.8,8.1,0.19,0.04
NGC2841,113000000000.0,26200000000.0,3693.0,183.6,0.16,0.04
