Name,Mbar,e_Mbar,jbar,e_jbar,fgas,e_fgas,Mgas,e_Mgas,jgas,e_jgas,Mstar,e_Mstar,jstar,e_jstar
NGC4536,38259239191.967026,4250597565.5799227,1186.80318076782,189.47346086904358,0.2286283551383241,0.034357975973962604,8747146925.303125,1201516916.9565842,1269.3735062746846,89.73426467876675,29512092266.663902,4077246222.97711,1162.33,44.18
NGC4639,18980000000.0,4556651911.21727,900.9852476290832,298.10706704657457,0.12539515279241306,0.03494724697940989,2380000000.0,389200000.0,1394.0,70.19999999999999,16600000000.0,4540000000.0,830.3,47.7
NGC4725,98239430079.69925,12919459113.59338,2509.371510059224,468.39294427617455,0.05002064849127679,0.010297361286371366,4914000000.0,820400000.0,3568.0,269.9,93325430079.69925,12893384645.926416,2453.63,79.59
NGC5584,14592000000.0,3163398937.8515,815.28125,250.5729335844904,0.21875,0.05449137857387121,3192000000.0,522199999.99999994,1022.0,82.8,11400000000.0,3120000000.0,757.4,77.4
NGC6946,44508000000.0,22840093607.513958,1042.5815583715287,750.082503119942,0.25856025882987327,0.17315714102100987,11508000000.0,7126000000.0,1840.0,536.0,33000000000.0,21700000000.0,764.5,239.2
NGC7793,5818032467.116829,809382818.7398679,375.48165224356416,73.47661485417817,0.3901488325495603,0.0607349610664395,2269898574.781069,338305057.6732316,432.4601200015349,22.7205837340657,3548133892.3357606,735289218.7595336,339.03,18.22
NGC7814,40832000000.0,10005737625.982405,751.4434757053292,253.8722692950391,0.04731583072100313,0.014027337220164481,1931999999.9999998,338800000.0,2500.0,137.1,38900000000.0,10000000000.0,664.6,62.8
UGC00731,3130000000.0,1837003266.1919794,438.5766773162939,392.1288082291602,0.9482428115015974,0.04394986899514188,2968000000.0,1834000000.0,448.1,143.3,162000000.0,105000000.0,264.1,103.2
UGC02487,221640000000.0,73872306827.38966,8535.515249954882,3949.0533281315047,0.14275401552066413,0.06256797157410687,31639999999.999996,10654000000.0,14940.0,2728.0,190000000000.0,73100000000.0,7469.0,1021.0
UGC02953,150980000000.0,88090382698.68056,2431.23009670155,1921.6568578191668,0.09921843952841436,0.07987989174639674,14980000000.0,9282000000.0,8044.0,2402.0,136000000000.0,87600000000.0,1813.0,579.7
UGC03546,49796000000.0,24942245287.86452,1226.8070527753234,907.209878139155,0.10233753715157844,0.06997855375637865,5096000000.0,2660000000.0,2804.0,788.0,44700000000.0,24800000000.0,1047.0,423.6
UGC04278,2228000000.0,1060273247.79983,322.34147217235187,252.310021371621,0.7100538599640933,0.18391821260496427,1582000000.0,974399999.9999999,384.1,137.6,646000000.0,418000000.0,171.1,126.0
UGC04325,2075800000.0,928050451.2148033,255.63347143270065,176.31954833551654,0.5206667308989306,0.22336249274141848,1080800000.0,669200000.0,291.2,90.1,995000000.0,643000000.0,217.0,104.2
UGC04499,2528000000.0,1202400166.3339872,283.7911392405063,210.89309213919157,0.7088607594936709,0.18418196090573205,1792000000.0,1104600000.0,315.7,101.89999999999999,736000000.0,475000000.0,206.1,77.6
UGC05721,1177800000.0,585370788.4751339,214.0626931567329,176.9724506475887,0.7690609611139413,0.15828393622516682,905800000.0,558600000.0,264.8,83.9,272000000.0,175000000.0,45.1,19.3
UGC06446,1537200000.0,723166481.524137,375.52295081967213,284.15405918844664,0.6857923497267758,0.19276271485808436,1054199999.9999999,652400000.0,456.4,144.4,483000000.0,312000000.0,199.0,76.4
UGC06787,67460000000.0,32735683527.307014,1455.3320486214052,1090.2894402854915,0.1328194485621109,0.08764913585611403,8960000000.0,4676000000.0,4675.0,1215.0,58500000000.0,32400000000.0,962.2,677.7
UGC06930,10116000000.0,2427273367.3815975,816.1644128113879,312.10319037140715,0.5729537366548043,0.11876068038789156,5796000000.0,1834000000.0,970.2,201.9,4320000000.0,1590000000.0,609.5,174.6
UGC06983,7688000000.0,1887020932.5813003,812.7806451612903,311.3694988645829,0.6774193548387096,0.10612466516049483,5208000000.0,1652000000.0,959.2,146.7,2480000000.0,912000000.0,505.3,107.4
UGC07125,7668000000.0,3941539293.2203526,600.9181533646322,487.7044603675924,0.8161189358372457,0.13326697770346932,6258000000.0,3835999999.9999995,669.8,206.29999999999998,1410000000.0,906000000.0,295.2,133.9
UGC07323,2896000000.0,1360565117.8830068,226.45953038674034,169.8127724311256,0.3577348066298342,0.20541340639813666,1035999999.9999999,641200000.0,283.3,99.80000000000001,1860000000.0,1200000000.0,194.8,118.5
UGC07524,3906000000.0,581011153.077116,446.8469534050179,100.66768262674833,0.6953405017921147,0.06719012604700639,2716000000.0,491399999.99999994,490.2,43.800000000000004,1190000000.0,310000000.0,347.9,49.0
UGC07690,903200000.0,404139035.48160255,107.52214348981398,74.99560456774914,0.5549158547387067,0.22082498696328542,501199999.99999994,309400000.0,138.5,43.099999999999994,402000000.0,260000000.0,68.9,21.7
UGC08286,1734800000.0,238646935.8697069,295.84892783029744,58.8337978369935,0.6391514872031359,0.06866271952972766,1108800000.0,180600000.0,366.9,15.7,626000000.0,156000000.0,170.0,9.5
UGC08490,1741200000.0,376558096.4472813,281.51722949689866,98.15662648135712,0.7059499195956811,0.08927687757042044,1229200000.0,336000000.0,356.5,46.5,512000000.0,170000000.0,101.5,15.1
UGC08550,640200000.0,317951065.417306,148.45129646985313,120.44788913105856,0.7719462667916275,0.15653740292753326,494199999.99999994,303800000.0,178.6,55.4,146000000.0,93800000.0,46.4,16.3
UGC10310,2618000000.0,1225778870.7593226,300.5844919786096,222.09328330525173,0.6684491978609626,0.19947291601215222,1750000000.0,1087800000.0,341.1,118.9,868000000.0,565000000.0,218.9,89.6
UGC11557,9128000000.0,3713889605.252154,350.38895705521475,238.95225555507173,0.34049079754601225,0.17114293736363145,3108000000.0,1624000000.0,496.8,205.89999999999998,6020000000.0,3340000000.0,274.8,179.0
UGC11914,72968000000.0,46410200699.84615,896.6972371450499,924.7206746755708,0.021488871834228703,0.018893788777011637,1568000000.0,972999999.9999999,1698.0,571.1,71400000000.0,46400000000.0,879.1,475.7
