gal,R[kpc],Vrot[km/s],e_Vrot[km/s],hi_l08(Msun/pc^2),hi_err_l08(Msun/pc^2),h2_f16_at_rl08(Msun/pc^2),h2_err_f16_at_rl08(Msun/pc^2),sfrd_l08(1e-4*Msun/yr/kpc^2),sfrd_err_l08(1e-4*Msun/yr/kpc^2)
NGC2403,2.275034542942332,95.29622227632456,1.8059624116050232,8.476197841449771,0.7475194621189867,2.151133084863885,1.1485813189598628,35.58009182511519,5.1963827044818265
NGC2403,2.6886771871136643,97.95792276925313,1.35585127344274,8.945791438296474,0.7475194621189867,1.987220584698852,1.0610614732756172,31.51494656732258,4.09302708531758
NGC2403,3.1023198312849973,105.2353099969541,1.5206699586538637,9.666747701501018,0.7475194621189867,2.167721258764055,1.1574384495537136,31.50626506396323,5.211206834271522
NGC2403,3.5159624754563303,110.8094943250504,1.740480059421238,10.358483975077386,0.64073096753056,1.565813491089448,0.836054327598455,40.0172941372868,14.185769589492942
NGC2403,3.9296051196276633,116.22483031010128,2.0651900093695432,10.112779858845588,0.5339424729421335,0.49267271134859847,0.2630588858485765,29.357388029905547,9.217100099224872
NGC2403,4.343247763798996,119.91586840236828,1.8908207763194729,9.25747190954419,0.5339424729421335,0.18213592356312883,0.09725010543889637,16.646414815444132,4.192354248367978
NGC2403,4.75689040797033,123.03517355962168,2.4263581127345337,8.205700720019241,0.4271539783537067,0.10533128003856362,0.05624084414195101,10.149725186083039,1.96579262117357
NGC2403,5.170533052141662,124.99478820108644,2.0743975824156142,7.216218556371502,0.4271539783537067,0.12231234359974791,0.0653077552129973,8.177492290092795,2.2809034213675936
NGC2403,5.584175696312998,125.8370937895777,2.152703777713836,6.530142512825321,0.4271539783537067,0.03364099297560328,0.017962354981622505,7.459354892564987,3.9957724597086566
NGC2403,5.997818340484328,126.05790302716676,1.4553062761882585,6.088099081472734,0.32036548376528,0.011698191743278597,0.006246161428357398,5.667454243780358,2.4649992511224976
NGC2403,6.411460984655662,126.4085430087298,0.6265799836428223,5.980155696951893,0.32036548376528,0.011698191743278597,0.006246161428357398,4.786520660142687,0.8477957344761814
NGC2403,6.8251036288269935,125.62408610704465,2.0248461837821545,6.15352465095026,0.32036548376528,0.011698191743278597,0.006246161428357398,3.7476187765916595,0.5339424729421335
NGC2403,7.23874627299833,125.96778917369907,1.4108766068660068,6.1728990984947245,0.32036548376528,0.011698191743278597,0.006246161428357398,3.138925859126216,0.5113520006848552
NGC2403,7.65238891716966,126.39536825253288,0.5622539006385825,5.816719682025494,0.23521983311663888,0.011698191743278597,0.006246161428357398,2.398517638517635,0.4271539783537067
NGC2403,8.066031561340996,127.45101364608703,1.3224423281293205,5.482255294981494,0.2135769891768533,0.011698191743278597,0.006246161428357398,1.5644131536529056,0.2451150125179365
NGC2403,8.479674205512326,127.62985913716597,0.5665953225360485,5.3501812522532095,0.2135769891768533,0.011698191743278597,0.006246161428357398,1.1851069963628407,0.11458237857699795
NGC2403,8.893316849683657,126.52782173417692,1.9552038558811864,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,9.306959493854992,126.67398548448072,0.49214373306419,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,9.720602138026322,126.9397443688768,1.147369571365386,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,10.13424478219766,127.78745125624592,1.4414636859084835,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,10.547887426368993,129.4765398927624,1.5949582959672055,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,10.961530070540324,130.24013278718067,0.4448070622531815,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,11.37517271471166,131.10573716641423,0.4585039632602917,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,11.78881535888299,132.87121193030495,0.4679957630661554,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,12.202458003054325,133.94858871326704,1.5201207879655314,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,12.616100647225652,134.00016142453583,0.5904163245747243,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,13.029743291396988,134.66358827412463,2.301438131684412,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,13.443385935568323,134.90064847036155,2.0363952854373,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
NGC2403,13.857028579739652,134.78792585835654,2.3314611688319866,5.12584774024448,0.2135769891768533,0.011698191743278597,0.006246161428357398,,
