# slope intercept sigma lnLike
-5.550000749269277112e-01 2.342101485344153244e-01 2.641831905862301322e-01 -2.139173624805388840e+01
-4.578637704821034160e-01 2.183831007129717894e-01 2.782133094021538300e-01 -2.055317490706158878e+01
-4.474099615196701629e-01 1.949037730012014302e-01 2.833882589482296654e-01 -2.012267829902981120e+01
-2.825674758152332267e-01 1.612604103617776008e-01 2.874615587547312834e-01 -2.132254857930088576e+01
-6.279095317551139921e-01 1.431824977332520343e-01 2.928184104101649310e-01 -2.092552039733029545e+01
-8.012023380488965119e-01 2.265327085489362846e-01 3.073747528761892056e-01 -2.204840996731782354e+01
-7.517923542352631383e-01 1.590443586460609238e-01 2.979197625841240038e-01 -2.124414236420468427e+01
-3.040657303837462910e-01 1.776606296163869836e-01 2.451687895370532055e-01 -2.261504589342653659e+01
-3.642631149548320457e-01 1.068189020426452973e-01 2.610711751357374100e-01 -2.424313941996226163e+01
-4.877923513328203398e-01 2.078375645897261592e-01 2.835180079777300244e-01 -2.019825074586728775e+01
-2.997612230288390078e-01 2.020373279984939152e-01 2.687502156280844323e-01 -2.137371860719430572e+01
-5.420180960313378815e-01 2.260140708669840515e-01 2.999564145840738494e-01 -2.074317479571157108e+01
-7.656578021851414562e-01 1.931512329860120558e-01 2.844570634445122148e-01 -2.109023553622609626e+01
-4.293181995130308515e-01 1.776003903833448250e-01 3.572209299689798612e-01 -2.276099771041432973e+01
-3.687375037380000720e-01 2.046737281896411353e-01 2.924622509281841753e-01 -2.063844823619858815e+01
-6.051915967495595794e-01 1.538814496044249858e-01 2.696553528161509394e-01 -2.087812500948368211e+01
-7.307388892634094635e-01 1.790859244090746150e-01 3.273468455654067188e-01 -2.153690002001593129e+01
-5.550246773663085609e-01 1.858641205999414514e-01 3.134482518172169718e-01 -2.044387200311060226e+01
-5.038153908041924645e-01 1.819015692404093998e-01 2.824896682083847255e-01 -1.998601313215673869e+01
-5.164069522169413284e-01 1.633432795257906134e-01 2.630267223672986820e-01 -2.069022010540736645e+01
-6.343428209716150956e-01 1.650542188853538483e-01 2.932745715399588393e-01 -2.038658707761159050e+01
-6.505447611172159306e-01 1.791793971373748517e-01 3.279620645642616905e-01 -2.119168581561741149e+01
-6.208130175039322518e-01 1.523093165094271395e-01 3.143658813371031924e-01 -2.094893296655521553e+01
-5.388496862853525693e-01 1.447877956438230473e-01 3.339317463080501147e-01 -2.171333446438014647e+01
-5.792957773604318072e-01 2.146798688310765924e-01 2.601052705036096535e-01 -2.092429692865166402e+01
-2.599333322633771148e-01 2.103232189944443109e-01 3.798436684834812782e-01 -2.537417410525716122e+01
-8.371873420169384516e-01 2.202784984150374381e-01 2.930503635678400332e-01 -2.215478853524583513e+01
-6.869559436899060900e-01 1.166907438702190214e-01 3.056687744492846970e-01 -2.239110083791762662e+01
-7.181069710973434495e-01 1.918153391284855569e-01 2.632719757532289151e-01 -2.126648718596423748e+01
-7.213386825627412513e-01 1.849577135218284651e-01 3.218081550901632504e-01 -2.126603135959219415e+01
-6.892387717512735712e-01 1.687726423169157997e-01 3.166744549970166300e-01 -2.101436122197467071e+01
-2.266278814847882406e-01 2.198171377687382910e-01 2.946354455975648268e-01 -2.225172677242225916e+01
-5.469948917441462832e-01 1.820103655706900858e-01 2.614066409537369462e-01 -2.049179438624199889e+01
-5.678196094686541739e-01 2.688234422242133381e-01 3.240072830144367089e-01 -2.326489725765022953e+01
-7.635744435610037906e-01 1.756116796530856339e-01 3.080985254139952945e-01 -2.121393382271008932e+01
-4.947691361895724116e-01 1.157534133429298784e-01 3.031004068214005476e-01 -2.194316233799987259e+01
-3.328741838336153891e-01 1.641162734413204871e-01 2.827682273009546887e-01 -2.088323800705014222e+01
-7.850243025443195410e-01 1.309705469512037757e-01 2.974859662897172408e-01 -2.246104165143653120e+01
-5.497428102852064402e-01 1.924779047481313121e-01 2.862600816830693229e-01 -1.998768549488891111e+01
-6.782424059880377554e-01 2.267013689052693182e-01 2.501005531182343700e-01 -2.242681891185682375e+01
-4.526012163352692852e-01 2.432359533262508644e-01 3.154390239971104348e-01 -2.188813020643663165e+01
-5.934181137044041154e-01 1.700694530858511411e-01 2.917217929529772880e-01 -2.016810882764658430e+01
-4.955943455473392212e-01 2.051773656859225137e-01 2.841505180910459116e-01 -2.013844666672206074e+01
-5.139328591729963591e-01 1.708953653728031152e-01 2.977585847960578791e-01 -2.013627104350266350e+01
-8.554984885818712748e-01 1.278761423101332784e-01 3.091353667992083887e-01 -2.331305673845290372e+01
-7.461288507295577022e-01 1.908785122441047366e-01 2.772753921817832645e-01 -2.102831563265998582e+01
-6.626578183264711930e-01 1.231392539093469213e-01 2.659423214838055882e-01 -2.283683494988461860e+01
-4.307491817795531253e-01 1.188114576971513875e-01 2.873659335908783086e-01 -2.196988598134924331e+01
-6.921104811431111337e-01 1.781171457513947287e-01 3.070214378765876440e-01 -2.070076749705581776e+01
-6.870181707210285538e-01 1.846687379837183840e-01 2.748245181344848298e-01 -2.062104373100592625e+01
-6.373480713637521555e-01 2.370240549151797216e-01 2.667151201217350387e-01 -2.166415573649429049e+01
-7.270956519615815461e-01 2.098547739389023392e-01 2.519126450560389419e-01 -2.223294062917574010e+01
-6.556097331005424911e-01 1.636671861798674743e-01 2.912770770049761815e-01 -2.050130451805377874e+01
-4.614987532352485822e-01 1.637432775021777087e-01 2.932247008308612179e-01 -2.025895777576346646e+01
-4.128161024550138225e-01 1.444884778776883427e-01 2.836830099742594369e-01 -2.092501305168608638e+01
-6.062565902020513597e-01 1.728721097825509090e-01 3.007599710460160392e-01 -2.026815694456610473e+01
-6.602602861460524775e-01 1.810935773134829674e-01 2.848734199118913013e-01 -2.032888654634721348e+01
-2.377218590285108402e-01 2.463095974708895408e-01 3.050146471280841265e-01 -2.325585382475465224e+01
-1.268151739814556977e-01 1.636088170212303960e-01 3.147062356829294916e-01 -2.329658722894090772e+01
-2.615091648775875188e-01 2.138147878576651117e-01 2.712875697564794963e-01 -2.194920139067268749e+01
-1.268018370045916332e-01 1.931969583352126651e-01 2.880063116122297262e-01 -2.309056598193924970e+01
-7.362797188421704719e-01 1.859759319659353982e-01 3.231524991675563396e-01 -2.140259193244727953e+01
-5.085659154964898843e-01 2.419202777749308031e-01 3.152235494196692911e-01 -2.170454120504179940e+01
-5.183605320725188648e-01 1.948777583100873845e-01 3.256886269729369343e-01 -2.095252547366586171e+01
-7.125229006042550495e-01 1.466677463054652797e-01 3.101118420649889851e-01 -2.141514412161978242e+01
-6.995539225743701017e-01 1.536640131868072801e-01 2.857920378652852311e-01 -2.102702472182390636e+01
-5.047367082499154556e-01 1.389065225510504598e-01 2.934501096227624672e-01 -2.086720834712635764e+01
-6.888178231291329778e-01 1.878982449501590823e-01 3.034103361357065598e-01 -2.059107138759942401e+01
-4.505165951153908832e-01 1.865789880818158886e-01 2.588019107895313531e-01 -2.067148985990452204e+01
-5.180766258947274716e-01 1.650340663314592560e-01 2.622377822833739658e-01 -2.068544636472269005e+01
-2.634029797907163628e-01 1.901331626119516227e-01 2.522921766624918738e-01 -2.246640998490775942e+01
-5.518914824285922061e-01 2.068230191655332506e-01 2.713678167210420988e-01 -2.031348928691425115e+01
-5.621906930345861308e-01 1.875915546900888964e-01 2.853761225127280365e-01 -1.998669427191052961e+01
-4.816924155822652764e-01 1.745292052720897324e-01 2.798162234398321457e-01 -2.008462289478445584e+01
-6.438165346734504579e-01 2.025634829773922396e-01 2.544476014910280748e-01 -2.127244252188093299e+01
-2.448156247563408605e-01 1.938319605603254503e-01 2.799093874096057477e-01 -2.160699780088146937e+01
-8.715907680543928393e-01 2.175476230170595715e-01 3.058786484854509324e-01 -2.250469859183059995e+01
-5.896485830955803253e-01 1.825658918143467924e-01 3.033248381995494181e-01 -2.022085495671572986e+01
-6.068223736761628739e-01 1.879691273148146047e-01 2.674124857564335045e-01 -2.039503445069903265e+01
-5.206426579749116046e-01 2.277556287883477637e-01 3.145204454126124261e-01 -2.116082918897615173e+01
-5.734612917151308276e-01 1.737603937734958082e-01 2.717862169684033269e-01 -2.026331924455082145e+01
-4.376375238663242628e-01 1.957213983723233852e-01 2.671544036716900217e-01 -2.042164954304998403e+01
-4.510066158534198899e-01 1.866565166385515673e-01 2.621117582307454508e-01 -2.052283037873723970e+01
-6.037153870013780566e-01 1.454683464997888198e-01 3.296664341132395371e-01 -2.159078977195861171e+01
-7.433317639578410629e-01 1.786845545783390388e-01 3.393168958676581193e-01 -2.213244881179635826e+01
-4.060308601457734423e-01 1.328480313071002117e-01 3.375430225907720683e-01 -2.241845353607155999e+01
-3.013489561658179716e-01 6.875901574991197251e-02 3.122584300083407483e-01 -2.583411443201438118e+01
-6.962808151385158073e-01 1.726587149527301912e-01 3.148485162397926529e-01 -2.095813875310838625e+01
-6.169448568242736908e-01 1.557017197584923129e-01 3.159898013302357977e-01 -2.091245599239568165e+01
-5.763116429281210928e-01 1.919851044438927457e-01 2.897192375074698623e-01 -2.002984382021518783e+01
-6.197955115536587511e-01 1.931717442993655109e-01 3.009996516629359631e-01 -2.027293192468065897e+01
-7.110705187437166286e-01 1.507144017026840199e-01 3.286466319499016242e-01 -2.183559113436165333e+01
-5.720740908211815468e-01 1.875208499908645465e-01 3.068895225678680005e-01 -2.027455841478199972e+01
-6.246342686001100653e-01 1.827627728793348172e-01 3.709257382968927930e-01 -2.355512652475698232e+01
-4.975339216982938018e-01 1.119967295798320189e-01 2.988731373616210218e-01 -2.213161366505153538e+01
-5.851097859578749949e-01 1.368068291971614170e-01 2.696946409667217992e-01 -2.149443383613549585e+01
-7.932830620016830814e-01 1.682719178776583280e-01 2.765869834329562904e-01 -2.171673182754841491e+01
-4.412593384087732384e-01 1.461213151646084951e-01 2.906766978604570228e-01 -2.072939738344864224e+01
-6.324804380432160755e-01 1.246408095183258874e-01 3.268161333450979589e-01 -2.221387318466199901e+01
-5.595060525839279375e-01 1.927309809032348720e-01 2.947605291671954730e-01 -2.005193694783460501e+01
-6.384558464674283673e-01 2.373029801958744800e-01 2.404714808769163881e-01 -2.350101092343451370e+01
-5.021541911547785508e-01 2.325581216022382935e-01 2.530546792358930874e-01 -2.188281114057200938e+01
